year_key,league_key,team_key,park_key,games,openings,attendance
1907,AL,WS1,WAS08,75,0,0
1908,AL,BOS,BOS06,77,4,32063
1908,NL,BRO,NYC12,77,1,17500
1908,NL,BSN,BOS05,78,1,5224
1908,AL,CHA,CHI09,78,0,0
1908,NL,CHN,CHI08,78,0,0
1908,NL,CIN,CIN06,77,2,20157
1908,AL,CLE,CLE05,78,0,0
1908,AL,DET,DET02,78,0,0
1908,NL,NY1,NYC10,80,0,0
1908,AL,NYA,NYC13,77,0,0
1908,AL,PHA,PHI10,78,3,9611
1908,NL,PHI,PHI09,78,0,0
1908,NL,PIT,PIT05,77,0,0
1908,AL,SLA,STL06,78,0,0
1908,NL,SLN,STL05,77,0,0
1908,AL,WS1,WAS08,78,0,0
1909,AL,BOS,BOS06,75,0,0
1909,NL,BRO,NYC12,79,0,0
1909,NL,BSN,BOS05,76,0,0
1909,AL,CHA,CHI09,81,0,0
1909,NL,CHN,CHI08,77,0,0
1909,NL,CIN,CIN06,80,0,0
1909,AL,CLE,CLE05,77,0,0
1909,AL,DET,DET02,78,0,0
1909,NL,NY1,NYC10,77,0,0
1909,AL,NYA,NYC13,77,0,0
1909,AL,PHA,PHI11,76,0,0
1909,NL,PHI,PHI09,77,0,0
1909,NL,PIT,PIT05,25,0,0
1909,NL,PIT,PIT06,54,0,0
1909,AL,SLA,STL07,79,0,0
1909,NL,SLN,STL05,76,0,0
1909,AL,WS1,WAS08,77,0,0
1910,AL,BOS,BOS06,80,0,0
1910,NL,BRO,NYC12,80,0,0
1910,NL,BSN,BOS05,78,0,0
1910,AL,CHA,CHI09,28,0,0
1910,AL,CHA,CHI10,51,0,0
1910,NL,CHN,CHI08,77,0,0
1910,NL,CIN,CIN06,77,0,0
1910,AL,CLE,CLE06,80,0,0
1910,AL,DET,DET02,78,0,0
1910,NL,NY1,NYC10,79,0,0
1910,AL,NYA,NYC13,77,0,0
1910,AL,PHA,PHI11,78,0,0
1910,NL,PHI,PHI09,78,0,0
1910,NL,PIT,PIT06,76,0,0
1910,AL,SLA,STL07,79,0,0
1910,NL,SLN,STL05,76,0,0
